Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2003 Aug,Total All Markets,America,United States,2827.8,1524.9
2003 Aug,Total All Markets,America,United States Virgin Islands,0,0
2003 Aug,Total All Markets,America,Uruguay,0.4,0.3
2003 Aug,Total All Markets,America,Venezuela,0,0.2
2003 Aug,Total All Markets,Asia,Afghanistan,0,0
2003 Aug,Total All Markets,Asia,Bahrain,13.5,2.1
2003 Aug,Total All Markets,Asia,Bangladesh,15.1,24.5
2003 Aug,Total All Markets,Asia,Brunei,31.1,18.9
2003 Aug,Total All Markets,Asia,Cambodia,8.2,38.6
2003 Aug,Total All Markets,Asia,China,1695.7,865.7
2003 Aug,Total All Markets,Asia,Christmas Island,0,0
2003 Aug,Total All Markets,Asia,Hong Kong,436.2,1062.4
2003 Aug,Total All Markets,Asia,India,198,199
2003 Aug,Total All Markets,Asia,Indonesia,1195.6,933.1
2003 Aug,Total All Markets,Asia,Iran,67.3,16.6
2003 Aug,Total All Markets,Asia,Iraq,0,0.1
2003 Aug,Total All Markets,Asia,Israel,48.1,9.6
2003 Aug,Total All Markets,Asia,Japan,2105.6,816.1
2003 Aug,Total All Markets,Asia,Jordan,0.1,1
2003 Aug,Total All Markets,Asia,Kazakhstan,0,0.6
2003 Aug,Total All Markets,Asia,"Korea, Dem Peo Rep Of",0.1,4.2
2003 Aug,Total All Markets,Asia,"Korea, Rep Of",811.3,317.2
2003 Aug,Total All Markets,Asia,Kuwait,239.1,4.7
2003 Aug,Total All Markets,Asia,Lao,0,0.1
2003 Aug,Total All Markets,Asia,Lebanon,0.1,1.7
2003 Aug,Total All Markets,Asia,Macao,0.8,1.1
2003 Aug,Total All Markets,Asia,Malaysia,3158.2,1204.8
2003 Aug,Total All Markets,Asia,Maldives,0.5,3.8
2003 Aug,Total All Markets,Asia,Mongolia,0,1.2
2003 Aug,Total All Markets,Asia,Myanmar,16.3,46.6
2003 Aug,Total All Markets,Asia,NA,13199.8,7065.6
2003 Aug,Total All Markets,Asia,Nepal,0.3,1
2003 Aug,Total All Markets,Asia,Oman,11.2,8.5
2003 Aug,Total All Markets,Asia,Other Markets Asia,1.8,1.5
2003 Aug,Total All Markets,Asia,Pakistan,4.5,22.2
2003 Aug,Total All Markets,Asia,Philippines,410,264.6
2003 Aug,Total All Markets,Asia,Qatar,160.3,4.4
2003 Aug,Total All Markets,Asia,Saudi Arabia,381.2,17.5
